功能性,Функциональность
保暖,Теплосбережение
减震,Амортизация
包裹性,Обхват стопы
反光,Светоотражение
吸汗,Впитывание пота
回弹,Отдача энергии
增高,Увеличение роста
平衡,Балансировка
抓地,Сцепление с поверхностью
抗冲击,Ударопоглощение
抗冲击性,Ударостойкость
抗扭,Сопротивление скручиванию
抗菌,Антибактериальный эффект
按摩,Массажный эффект
支撑,Поддержка
耐磨,Износостойкость
超轻,Сверхлёгкость
轻便,Лёгкость
轻质,Низкий вес
透气,Воздухопроницаемость
速干,Быстрое высыхание
防侧翻,Защита от вывиха
防水,Водонепроницаемость
防滑,Противоскольжение
防磨,Защита от истирания
防臭,Защита от запаха
静音,Бесшумность
