适用场景,Назначение
七夕,Подарок на День всех влюблённых
休闲,Повседневная носка
体测体考,Физические нормативы
健身,Фитнес
出差,Командировка
出游,Поездка
商务/休闲生活,Работа и отдых
城市通勤,Городской коммьют
夏季攀登,Летнее восхождение
山地多用途,Многофункционально в горах
徒步,Хайкинг
徒步攀登,Хайкинг с подъёмами
徒步旅行,Пешее путешествие
户外,Природа
户外登山,Горный поход
户外远足,Прогулка на природе
攀冰攀岩,Скалолазание и ледолазание
攀登高海拔环境,Восхождение на высоте
旅行,Путешествие
日常穿搭,Ежедневный образ
校园,Кампус / учёба
沙滩漂流,Пляж и сплавы
派对,Вечеринка
滑雪,Горные лыжи
滑雪滑翔,Ски-флай и параглайдинг
瑜伽,Йога
登山,Альпинизм
短跑,Спринт
约会,Свидание
职场,Рабочая среда
训练,Тренировка
越野,Бездорожье
越野跑,Трейлраннинг
轻量徒步,Лёгкий хайкинг
运动,Спорт
近郊露营,Пригородный кемпинг
送男友,Подарок парню
通勤,Поездки на работу
都市生活/旅游/通勤,Город / путешествия / работа
重装徒步,Хайкинг с полным снаряжением
长跑,Длительный бег
长距离徒步,Долгий хайкинг
露营,Кемпинг
马拉松,Марафон
