风格,Стиль
BM纯欲风,Сексуальный BM
Ins极简风,Минимализм в стиле Instagram
VIBE风,VIBE-стиль
Y2K辣妹风,Y2K дерзкий стиль
个性,Индивидуальный
中性,Унисекс
休闲,Кэжуал
优雅,Элегантный
优雅OL,Элегантный офисный
优雅风,Элегантный стиль
其他,Другое
军事迷彩,Милитари-камуфляж
军事风,Милитари
军旅,Армейский стиль
前卫,Авангард
北欧风,Скандинавский
华丽,Роскошный
卡通,Мультяшный
原创设计,Авторский дизайн
古典,Классический
可爱,Милый
可爱风,Милый стиль
商务,Деловой
商务/OL,Офисный / деловой
商务风,Офисный стиль
嘻哈,Хип-хоп
嘻哈街头,Уличный хип-хоп
城市机能,Техногород
复古,Ретро
复古运动风,Ретро-спорт
复古风,Винтаж
奢华风,Люкс
学院,Академический
学院休闲,Кэжуал колледж
学院风,Университетский стиль
实战,Боевое назначение
小清新,Лёгкая романтика
居家,Домашний
山系户外,Горный outdoor
工装风,Технический рабочий
情侣蜜恋,Парный / романтика
慢跑,Джоггинг
户外,Открытый воздух
摇滚,Рок
文艺,Арт
文艺风,Творческий
新中式,Неоклассика
无性别主义,Гендер-нейтральный
日式,Японский
日潮,Японский стрит
日系,Японский стиль
日韩,Японо-корейский
日韩甜美,Сладкий корейский
时尚,Мода
时尚潮流,Модный тренд
时装,Высокая мода
暗黑先锋,Готика
朋克,Панк
朋克风,Панк-стиль
未来主义,Футуризм
机能,Техно
机车,Мото
极简风,Минимализм
校园,Школьный
森系风,Лесной стиль
欧美,Западный
欧美时尚,Западная мода
欧美风,Американо-европейский
民族风,Этно
法式慵懒风,Французский шик
涂鸦,Граффити
淑女,Леди
港风,Гонконгский
潮流,Трендовый
甜美,Милый стиль
甜美可爱,Милый и очаровательный
甜美淑女,Нежный и женственный
甜酷风,Сладко-дёрзкий
田园,Пасторальный
田园度假风,Пасторальный отпуск
田园风,Деревенский
竞速,Гоночный
简约,Простой
简约现代,Современный минимализм
简约风,Минималистичный стиль
经典百搭,Классика
美式,Американский
美式街头,Американский уличный
美潮,Американская мода
舒适,Удобный
英伦,Британский
英伦风,Британский стиль
菁英,Элитный
萌系,Милота
街头,Уличный
街头潮流,Уличная мода
轻奢风,Доступная роскошь
运动,Спортивный
运动风,Спорт
阿美咔叽,Американская классика (Amekaji)
雅痞,Яппи
青春活力,Молодёжный
韩式,Корейский
韩式风,Корейский стиль
韩版,Корейская версия
韩风,Корейская мода
高端,Премиум
高街风,Хай-стрит
Athflow,Athflow
CITY BOY,City Boy
