闭合方式,Тип застёжки
一字型,Прямая перемычка
一字式扣带,Прямая застёжка-ремешок
一脚蹬,Без застёжки (влезает ногой)
不系带,Без шнурков
其他,Другое
包头,Закрытый мыс
包盖式,Закрывающий клапан
单开拉链,Молния (односторонняя)
双开拉链,Молния (двусторонняя)
套筒,Чулочная конструкция
套脚,Влезная конструкция (без застёжки)
抽带,Стягивающий ремешок
抽带搭扣,Ремешок с застёжкой
抽带锁扣,Ремешок с замком
抽绳,Шнурок
拉链,Молния
拉链+搭扣,Молния + застёжка
拉链搭扣,Застёжка на молнии
挂钩,Крючок
按扣,Кнопка-застёжка
搭扣,Липучка/ремешок
敞口,Без застёжки (открытая)
旋扣,Поворотная застёжка
旋钮,Ручка-зажим
松紧带,Эластичная резинка
磁扣,Магнитная застёжка
竹节扣,Застёжка-бамбук
系带,Шнуровка
翻盖,Клапан
翻盖式,Клапанная конструкция
锁扣,Замок-застёжка
魔术贴,Липучка
