材质,Материал
回收渔网,Переработанная рыболовная сеть
18K玫瑰金,Розовое золото 18К
18K白金,Белое золото 18К
18K金,Жёлтое золото 18К
18K黃金,Жёлтое золото 18К
18K黄金,Жёлтое золото 18К
18k金,Жёлтое золото 18К
18k黄金,Жёлтое золото 18К
925银,Серебро 925 пробы
ABS塑料,Пластик ABS
EVA+织物,EVA + текстиль
EVA泡沫,Пена EVA
K金,Позолота / золото K
PU(聚氨酯),Полиуретан (PU)
PU（人造革）,Искусственная кожа PU
TPU涂层,TPU-покрытие
不锈钢,Нержавеющая сталь
丙烯酸,Акрил
丙烯酸纤维,Акриловое волокно
丝绸,Шёлк
亚克力,Акрил
人造丝,Искусственный шёлк
人造纤维,Искусственное волокно
人造织带,Искусственная тесьма
人造革,Искусственная кожа
人造革（PU）,Искусственная кожа PU
以官网为准,Согласно официальному сайту
全棉,100% хлопок
其他,Другое
其他纤维,Другие волокна
其它材质,Другие материалы
再生尼龙,Переработанный нейлон
再生棉,Переработанный хлопок
再生涤纶,Переработанный полиэстер
再生渔网,Переработанная рыболовная сеть
再生纤维素纤维,Волокно из переработанной целлюлозы
再生羊毛,Переработанная шерсть
再生聚酯,Переработанный полиэстер
再生聚酯平纹织物 再生渔网,Полиэстеровая ткань + переработанная рыболовная сеть
再生聚酯提花羊毛,Переработанный полиэстер с жаккардовой шерстью
再生聚酯提花羊毛绒,Переработанный полиэстер с жаккардовым флисом
再生聚酯纤维,Переработанное полиэфирное волокно
再生聚酯网,Переработанная полиэфирная сетка
再生聚酰胺,Переработанный полиамид
合金,Сплав
合金/镀银/镀金,Сплав с серебряным/золотым покрытием
大麻,Конопля
天鹅绒,Велюр
孔雀石,Малахит
小牛皮,Телячья кожа
尼龙,Нейлон
尼龙 聚氨酯,Нейлон с полиуретаном
山羊绒,Козий пух
布艺,Текстиль
帆布,Холст
弹性纤维,Эластичное волокно
彼得石,Питерсит (редкий минерал)
拉绒,Флис с начёсом
搪瓷,Эмаль
搪胶,Термопластик
斜纹布,Саржа
有机棉,Органический хлопок
有机棉帆布,Органический холст
树脂,Смола
桑蚕丝,"Шёлк (натуральный, от шелкопряда)"
棉,Хлопок
棉 聚酯纤维 二烯类弹性纤维 氨纶,Хлопок + полиэстер + эластан + спандекс
棉 锦纶 氨纶 聚酯纤维,Хлопок + нейлон + спандекс + полиэстер
棉布,Хлопчатобумажная ткань
棉涤,Хлопок + полиэстер
棉混纺,Хлопковая смесь
棉花,Хлопковое волокно
棉花·,Хлопок
棉质,Хлопковая ткань
植绒,Флокирование
橡胶,Резина
毛绒,Плюш
氨纶,Спандекс
氨纶(聚氨酯弹性纤维),Спандекс (полиуретановое волокно)
氨纶（聚氨酯）,Спандекс (полиуретан)
水晶,Кристалл
水洗棉,Хлопок с эффектом стирки
涤棉 纸编 聚对苯二甲酸丁二醋纤维 涤棉针织 聚酷纤维,Смешанные синтетические и хлопковые волокна
涤氨斜纹磨毛复合布,Флисовая ткань на основе полиэстера и спандекса
涤纶,Полиэстер
涤纶(聚酯纤维,Полиэстер (полиэфирное волокно)
涤纶网布,Полиэстеровая сетка
涤纶（聚酯纤维）,Полиэстер (полиэфирное волокно)
混合材质,Смешанный материал
渔网,Рыболовная сеть
灯芯绒,Вельвет
牛仔,Деним
牛仔布,Джинсовая ткань
牛皮,Кожа быка
牛皮革,Кожа бычья (выделанная)
玉髓,Халцедон
玛瑙,Агат
玫瑰金,Розовое золото
玻璃,Стекло
珍珠,Жемчуг
珍珠母贝,Перламутр
珐琅,Фарфор / эмаль
电镀,Гальваника
白金,Платина
皮,Кожа
皮革,Кожаный материал
皮革 绒布,Кожа + велюр
真丝,Натуральный шёлк
硅胶,Силикон
立方氧化锆,Кубический цирконий
粘纤,Вискоза
粘胶,Вискоза
粘胶纤维,Вискозное волокно
紅玉髓,Красный халцедон
纯棉,Чистый хлопок
纱线,Пряжа
纸,Бумага
织物,Ткань
绒线,Мягкая пряжа
绒面革,Замша
绒面革 麂皮,Замша и искусственная замша
绵羊毛,Овечья шерсть
缟玛瑙,Сардоникс (полудрагоценный камень)
羊毛,Шерсть
羊毛 小牛皮,Шерсть и телячья кожа
羊毛/羊绒,Шерсть / кашемир
羊毛混纺,Смесь шерсти
羊绒,Кашемир
羊绒混纺,Смесь с кашемиром
羊驼毛,Альпака
美利奴羊毛,Мериносовая шерсть
美利诺羊毛,Мериносовая шерсть
聚乙烯,Полиэтилен
聚氨酯,Полиуретан
聚脂钎维,Полиэфирное волокно
聚酯纤维,Полиэстер
聚酯纤维 氨纶 锦纶 聚氨酯,Полиэстер + спандекс + нейлон + полиуретан
聚酯纤维 锦纶 氨纶,Полиэстер + нейлон + спандекс
聚酯纤维/尼龙/弹性纤维,Полиэстер / нейлон / эластан
聚酯纤维53%PVC45%碳2%,"Полиэстер 53%, ПВХ 45%, углерод 2%"
聚酰胺,Полиамид
聚酰胺纤维,Полиамидное волокно
腈纶,Акрил
蓝玛瑙,Синий агат
虎眼石,Тигровый глаз
蚕丝（真丝）,Шёлк (натуральный)
表层铝膜,Алюминиевая плёнка
透明,Прозрачный
醋酸盐 钢,Ацетат + сталь
