款式,Фасон
A字型,А-силуэт
A字裙,Юбка А-силуэта
K金耳饰,Серьги из золота K
T型,Т-образный крой
一字型,Прямой вырез
七天袜,Носки на неделю
三合一羽绒服,3-в-1 пуховик
三角裤,Трусы-треугольники
三角连体泳衣,Слитный купальник-треугольник
不对称耳饰,Асимметричные серьги
不规则,Нерегулярный крой
丝光,Мерсеризация
两面穿,Двусторонний
五分泳裤,Шорты для плавания до колена
五趾袜,Пятиточечные носки
人字拖,Вьетнамки
休闲冲浪泳衣,Купальник для серфинга
休闲裤,Повседневные брюки
伞兵裤,Карго-штаны
伞裙,Юбка-колокол
修身裤,Облегающие брюки
假两件,Обманка (2-в-1)
假两件棉服,Обманка — утеплённая куртка
假两件羽绒服,Обманка — пуховик
其他,Другое
几何线条耳饰,Серьги с геометрическими линиями
分指手套,Перчатки с разделёнными пальцами
包头,Закрытый нос
包臀裙,Обтягивающая юбка
半指手套,Перчатки без пальцев
单只耳饰,Одиночная серьга
卫裤,Спортивные штаны
双层,Двухслойный
双面穿,Двусторонняя одежда
可脱卸,Съёмные элементы
可脱卸羽绒,Пуховик с отстёгивающимися деталями
哈伦裤,Брюки-харемы
喇叭裤,Брюки-клёш
地板袜,Домашние носки
坎肩型,Безрукавка
堆堆袜,Складчатые носки
夏威夷,Гавайский стиль
大码,Большой размер
套装,Костюм / комплект
套装耳饰,Серьги комплектом
套趾,Палец-обхват (обувь)
婴儿袜,Детские носки
宽边,Широкий край
小脚裤,Зауженные брюки
小衫,Лёгкая блуза
小香风,Стиль Chanel
小香风棉服,Пуховик в стиле Chanel
工字型,Спортивная майка
工装,Милитари / рабочий стиль
工装棉服,Пуховик в рабочем стиле
工装裙,Юбка милитари
工装裤,Брюки милитари
常规,Классический фасон
平角泳裤,Плавки-боксеры
平角裤,Боксеры
开衫,Кардиган
弯刀裤,Изогнутые брюки
微喇裤,Слегка расклешённые брюки
打底衫,Футболка под низ
拼接棉服,Пуховик с вставками
拼接款,Комбинированный фасон
挂式,На подвеске
挂脖式,На шее (halter)
排扣裤,Брюки на пуговицах
收腰型,Приталенный фасон
教练,Куртка-тренерка
斗篷型,Кейп / пончо
斜肩,На одно плечо
方巾,Платок
无缝羽绒服,Бесшовный пуховик
机能,Техностиль
束脚裤,Брюки на резинке
梭织短裤,Тканевые шорты
棉服夹克,Куртка-пуховик
棒球棉服,Бейсбольный пуховик
毛圈,Махра
派克棉服,Парка-пуховик
派克羽绒服,Парка-пуховик
灯笼裤,Брюки-фонарики
牛仔,Джинсовый стиль
百慕大短裤,Бермуды
百褶裙,Плиссированная юбка
直筒,Прямой фасон
直筒型,Прямой крой
直筒裤,Прямые брюки
短袖套装,Комплект с коротким рукавом
短裤裙,Юбка-шорты
破洞裤,Джинсы с прорезями
硬壳,Жёсткая оболочка (outer shell)
磨毛,Фланелевый эффект
糖果色,Цвета «конфетки»
系带,На шнуровке
紧身裤,Леггинсы / обтягивающие брюки
织花,Жаккард
绗缝棉衣,Стёганая куртка
绗缝羽绒服,Стёганый пуховик
羽绒服大衣,Пуховик-пальто
羽绒服夹克,Пуховик-куртка
羽绒被式羽绒服,Одеяло-пуховик
耳坠,Серьги-подвески
耳夹,Клипсы
耳环,Серьги-кольца
耳钉,Гвоздики
背带,Бретели
背带裤,Комбинезон с бретелями
腰带,Пояс
船袜,Следки
蓬蓬裙,Юбка-пачка
蝙蝠型,Рукав «летучая мышь»
衬衫式棉服,Пуховик-рубашка
衬衫式羽绒服,Пуховик-рубашка (тёплый)
裙摆型,Фасон с юбкой
西装,Костюм
西装短裤,Короткие брюки-костюм
西装裤,Костюмные брюки
赛车服棉服,Пуховик в гоночном стиле
软壳,Softshell (мягкая оболочка)
运动短裤,Спортивные шорты
连体裤,Комбинезон
连帽,С капюшоном
连指手套,Варежки
迷你裙,Мини-юбка
重磅,Плотная ткань / материал
针织,Трикотаж
针织短裤,Трикотажные шорты
针织裙,Трикотажная юбка
